Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age
9.3,Low Fat,0.016047301,Grocery,249.8092,OUT049,Medium,Tier 1,Supermarket Type1,3735.138,10
5.92,Regular,0.019278216,Beverages,48.2692,OUT018,Medium,Tier 3,Supermarket Type2,443.4228,0
17.5,Low Fat,0.016760075,Proteins,141.618,OUT049,Medium,Tier 1,Supermarket Type1,2097.27,10
19.2,Regular,0.0,Fruits and Vegetables,182.095,OUT010,High,Tier 3,Grocery Store,732.38,11
8.93,Low Fat,0.0,Household and Non-Food Items,53.8614,OUT013,High,Tier 3,Supermarket Type1,994.7052,22
10.395,Regular,0.0,Grocery,51.4008,OUT018,Medium,Tier 3,Supermarket Type2,556.6088,0
13.65,Regular,0.012741089,Grocery,57.6588,OUT013,High,Tier 3,Supermarket Type1,343.5528,22
16.849999999999998,Low Fat,0.127469857,Grocery,107.7622,OUT027,Medium,Tier 3,Supermarket Type3,4022.7636,24
16.2,Regular,0.016687114,Frozen Foods,96.9726,OUT045,Small,Tier 2,Supermarket Type1,1076.5986,7
19.2,Regular,0.09444959,Frozen Foods,187.8214,OUT017,Small,Tier 2,Supermarket Type1,4710.535,2
11.8,Low Fat,0.0,Fruits and Vegetables,45.5402,OUT049,Medium,Tier 1,Supermarket Type1,1516.0266,10
18.5,Regular,0.045463773,Grocery,144.1102,OUT046,Small,Tier 1,Supermarket Type1,2187.153,12
15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,Medium,Tier 1,Supermarket Type1,1589.2646,10
17.6,Regular,0.047257328,Grocery,119.6782,OUT046,Small,Tier 1,Supermarket Type1,2145.2076,12
16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,OUT013,High,Tier 3,Supermarket Type1,1977.426,22
9.0,Regular,0.069088961,Grocery,56.3614,OUT046,Small,Tier 1,Supermarket Type1,1547.3192,12
11.8,Low Fat,0.008596051,Household and Non-Food Items,115.3492,OUT018,Medium,Tier 3,Supermarket Type2,1621.8888,0
9.0,Regular,0.069196376,Grocery,54.3614,OUT049,Medium,Tier 1,Supermarket Type1,718.3982,10
13.768,Low Fat,0.034237682,Beverages,113.2834,OUT027,Medium,Tier 3,Supermarket Type3,2303.668,24
13.35,Low Fat,0.10249212,Grocery,230.5352,OUT035,Small,Tier 2,Supermarket Type1,2748.4224,5
18.85,Regular,0.138190277,Grocery,250.8724,OUT013,High,Tier 3,Supermarket Type1,3775.086,22
13.809999999999999,Regular,0.035399923,Grocery,144.5444,OUT027,Medium,Tier 3,Supermarket Type3,4064.0432,24
14.6,Low Fat,0.025698134,Household and Non-Food Items,196.5084,OUT035,Small,Tier 2,Supermarket Type1,1587.2672,5
10.424,Low Fat,0.057556998,Grocery,107.6938,OUT019,Small,Tier 1,Grocery Store,214.3876,24
13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,Small,Tier 1,Supermarket Type1,4078.025,12
13.0,Low Fat,0.099887103,Household and Non-Food Items,45.906,OUT017,Small,Tier 2,Supermarket Type1,838.908,2
7.645,Regular,0.066693437,Grocery,42.3112,OUT035,Small,Tier 2,Supermarket Type1,1065.28,5
11.65,Low Fat,0.019356132,Beverages,39.1164,OUT013,High,Tier 3,Supermarket Type1,308.9312,22
5.925,Regular,0.161466534,Grocery,45.5086,OUT010,High,Tier 3,Grocery Store,178.4344,11
14.12,Regular,0.072221801,Grocery,43.6454,OUT019,Small,Tier 1,Grocery Store,125.8362,24
19.25,Low Fat,0.170348551,Grocery,55.7956,OUT010,High,Tier 3,Grocery Store,163.7868,11
18.6,Low Fat,0.080829372,Household and Non-Food Items,96.4436,OUT018,Medium,Tier 3,Supermarket Type2,2741.7644,0
18.7,Low Fat,0.0,Grocery,256.6672,OUT018,Medium,Tier 3,Supermarket Type2,3068.0064,0
17.85,Low Fat,0.0,Grocery,93.1436,OUT045,Small,Tier 2,Supermarket Type1,2174.5028,7
17.5,Low Fat,0.097904029,Beverages,174.8738,OUT046,Small,Tier 1,Supermarket Type1,2085.2856,12
